periode,tahun,kuartal,penjualan_bersih,hpp,beban_operasional
2022-Q1,2022,1,52047793479,49553728651,1978663324
2022-Q2,2022,2,52047793479,49553728652,1978663324
2022-Q3,2022,3,52047793479,49553728652,1978663324
2022-Q4,2022,4,52047793479,49553728652,1978663325
2023-Q1,2023,1,50280109818,47827408995,1894742317
2023-Q2,2023,2,50280109818,47827408995,1894742318
2023-Q3,2023,3,50280109819,47827408995,1894742318
2023-Q4,2023,4,50280109819,47827408995,1894742318
2024-Q1,2024,1,51930843348,49128022303,2350680494
2024-Q2,2024,2,51930843348,49128022303,2350680494
2024-Q3,2024,3,51930843348,49128022303,2350680494
2024-Q4,2024,4,51930843349,49128022304,2350680495
